step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
97,CASH_OUT,21814.86,C6616315434,52575.36,30760.5,C7061713859,5900.77,27715.63,0,0
18,PAYMENT,713.07,C6726157875,795.73,82.66,M5264173783,0.0,0.0,0,0
30,CASH_IN,21667.2,C5118611523,25341.01,47008.21,C2408200856,72642.0,50974.8,0,0
86,PAYMENT,4962.57,C8877644609,10601.93,5639.36,M3717166654,0.0,0.0,0,0
35,DEBIT,1460.14,C6875887495,2306.56,846.42,C9935932379,33913.39,35373.53,0,0
85,PAYMENT,1231.27,C1571354560,3163.96,1932.69,M2230239318,0.0,0.0,0,0
72,CASH_OUT,7252.28,C6501274655,14801.18,7548.9,C1619902553,22580.58,29832.86,0,0
74,PAYMENT,756.31,C9290907227,2729.09,1972.78,M3531595658,0.0,0.0,0,0
65,CASH_IN,48127.32,C2677197705,46743.14,94870.46,C8252418516,92283.99,44156.67,0,0
1,PAYMENT,3666.56,C9911306793,6366.69,2700.13,M7366593006,0.0,0.0,0,0
96,TRANSFER,13873.72,C8424942152,34878.54,21004.82,C4950330307,11453.93,25327.65,0,0
10,PAYMENT,5697.12,C2130738196,11147.8,5450.68,M4288356091,0.0,0.0,0,0
84,PAYMENT,602.78,C4234059678,2026.46,1423.68,M4855172529,0.0,0.0,0,0
80,CASH_OUT,49896.77,C3881542349,87063.78,37167.01,C2732515539,31934.8,81831.57,0,0
98,CASH_OUT,255.99,C4711343223,522.31,266.32,C3222970251,689.5,945.49,0,0
55,CASH_OUT,1973.76,C5370389223,3542.06,1568.3,C6264105946,13035.06,15008.82,0,0
67,CASH_IN,2986.56,C3248019037,22406.07,25392.63,C6692444872,43164.64,40178.08,0,0
76,CASH_OUT,3217.44,C3085799151,5855.34,2637.9,C6494392502,30090.22,33307.66,0,0
46,TRANSFER,2144.04,C2782733434,5095.55,2951.51,C7770741453,43275.3,45419.34,0,0
48,PAYMENT,7499.12,C8357593281,6340.7,0.0,M4975643734,0.0,0.0,0,0
30,CASH_IN,4648.4,C7236501693,1330.08,5978.48,C6290243428,41555.9,36907.5,0,0
86,PAYMENT,6731.75,C7003182244,22305.32,15573.57,M2325837008,0.0,0.0,0,0
38,CASH_IN,6578.82,C2535078511,16322.3,22901.12,C7076189796,15813.67,9234.85,0,0
90,TRANSFER,6645.21,C7719333478,17700.37,11055.16,C8101501144,14088.25,20733.46,0,0
99,PAYMENT,2058.12,C1717915928,2565.65,507.53,M2594279144,0.0,0.0,0,0
97,PAYMENT,10275.51,C3735416403,32616.68,22341.17,M8504646124,0.0,0.0,0,0
21,CASH_OUT,24851.52,C8175309136,50963.16,26111.64,C5591429002,3605.1,28456.62,0,0
67,CASH_OUT,2568.28,C7385425468,3421.74,853.46,C2011961110,27725.36,30293.64,0,0
13,CASH_OUT,10935.65,C4092287647,24417.72,13482.07,C1016419880,14339.99,25275.64,0,0
91,PAYMENT,1272.13,C6018770335,5198.73,3926.6,M3295191337,0.0,0.0,0,0
96,CASH_OUT,64027.13,C1051519253,104208.92,40181.79,C3611324853,34136.94,98164.07,0,0
51,CASH_OUT,29010.7,C1156616148,52170.39,23159.69,C8371153548,38876.64,67887.34,0,0
93,CASH_OUT,1444.99,C7038674789,2809.62,1364.63,C9319820360,49377.17,50822.16,0,0
39,TRANSFER,66225.61,C1068846657,194768.87,128543.26,C6802809141,29561.96,95787.57,0,0
83,CASH_IN,2298.32,C5868141271,17619.42,19917.74,C6664183983,79712.19,77413.87,0,0
2,TRANSFER,5022.32,C4122828779,7479.75,2457.43,C3755275435,5751.47,10773.79,0,0
57,PAYMENT,4482.67,C3942625985,16851.93,12369.26,M1309739450,0.0,0.0,0,0
13,CASH_IN,7928.05,C7456535975,25847.38,33775.43,C9018131947,8011.01,82.96,0,0
33,TRANSFER,1580.32,C2929398721,3849.4,2269.08,C5720373938,48162.98,49743.3,0,0
66,PAYMENT,917.22,C2838654599,3402.99,2485.77,M9176265876,0.0,0.0,0,0
21,CASH_OUT,44234.92,C6919368238,65367.21,21132.29,C5315093457,26062.0,70296.92,0,0
95,CASH_OUT,21302.59,C2670255496,23818.87,2516.28,C8284816444,19079.13,40381.72,0,0
30,TRANSFER,4233.07,C6030444208,6573.1,2340.03,C7611079885,14955.14,19188.21,0,0
28,PAYMENT,1654.72,C9777186310,5649.29,3994.57,M9847620082,0.0,0.0,0,0
85,CASH_OUT,5658.19,C9605259193,9274.38,3616.19,C4465779567,41452.85,47111.04,0,0
56,CASH_IN,2096.0,C2066273250,33789.88,35885.88,C4489265160,26540.14,24444.14,0,0
49,TRANSFER,34873.51,C1951604017,40309.24,5435.73,C3982793593,48969.57,83843.08,0,0
3,PAYMENT,972.24,C8705372471,2845.24,1873.0,M3131742131,0.0,0.0,0,0
76,PAYMENT,117.7,C5068952509,308.93,191.23,M5085273839,0.0,0.0,0,0
99,CASH_OUT,20369.76,C3514088818,29258.26,8888.5,C7681744326,33771.08,54140.84,0,0
16,CASH_IN,2688.02,C7346249017,38827.49,41515.51,C9178006120,33246.48,30558.46,0,0
21,CASH_OUT,8760.28,C3306082188,12400.36,3640.08,C9053917673,18443.19,27203.47,0,0
16,CASH_OUT,29414.6,C4873807154,72743.78,43329.18,C1770278136,47703.97,77118.57,0,0
62,CASH_OUT,20312.23,C8772060327,22078.94,1766.71,C7904251454,4782.37,25094.6,0,0
79,CASH_OUT,11859.55,C4585393828,25777.87,13918.32,C6945082073,26773.69,38633.24,0,0
54,CASH_OUT,5564.2,C2193313092,8938.37,3374.17,C1196108591,35548.16,41112.36,0,0
79,CASH_OUT,6768.17,C6903823460,13398.42,6630.25,C1978462339,41991.29,48759.46,0,0
55,PAYMENT,8184.94,C6554944813,35105.08,26920.14,M2489862643,0.0,0.0,0,0
25,PAYMENT,2083.62,C1575937761,10431.0,8347.38,M5647064106,0.0,0.0,0,0
65,PAYMENT,580.29,C7550064137,785.5,205.21,M3203512161,0.0,0.0,0,0
20,TRANSFER,104.2,C7964032021,215.4,111.2,C8979880900,7379.14,7483.34,0,0
72,PAYMENT,2472.91,C6341230522,11906.83,9433.92,M9928066155,0.0,0.0,0,0
66,PAYMENT,6560.56,C6598145536,7128.27,567.71,M6873042261,0.0,0.0,0,0
90,PAYMENT,5053.01,C7617659659,7949.31,2896.3,M5860462219,0.0,0.0,0,0
77,PAYMENT,3668.99,C8899320537,17215.46,13546.47,M2825259209,0.0,0.0,0,0
55,PAYMENT,1010.56,C6150565026,3657.21,2646.65,M5853276399,0.0,0.0,0,0
87,PAYMENT,1936.44,C3961206672,6671.91,4735.47,M9030932353,0.0,0.0,0,0
96,PAYMENT,6461.89,C6522958541,18699.23,12237.34,M6624565371,0.0,0.0,0,0
7,TRANSFER,4136.76,C3116283734,10280.11,6143.35,C9727164486,14143.12,18279.88,0,0
4,CASH_IN,3087.11,C4001257697,48262.09,51349.2,C5101466514,20871.45,17784.34,0,0
50,PAYMENT,4457.58,C4992015329,7359.98,2902.4,M3848953044,0.0,0.0,0,0
43,TRANSFER,13164.63,C4523334967,16361.38,3196.75,C6721522721,49842.67,63007.3,0,0
70,CASH_OUT,14472.5,C7719223354,31571.49,17098.99,C7509357428,13193.37,27665.87,0,0
46,TRANSFER,17513.78,C7490622765,50409.1,32895.32,C3945430953,31545.97,49059.75,0,0
100,PAYMENT,138.97,C3520285333,292.3,153.33,M3924684584,0.0,0.0,0,0
87,PAYMENT,7521.99,C5039436970,13006.0,5484.01,M5785826365,0.0,0.0,0,0
93,CASH_OUT,8086.52,C4774962565,9197.2,1110.68,C8318362592,16355.08,24441.6,0,0
67,CASH_IN,13868.53,C9468815204,31477.5,45346.03,C9178050223,42439.03,28570.5,0,0
18,PAYMENT,4220.54,C6441610557,8342.26,4121.72,M8836951776,0.0,0.0,0,0
89,PAYMENT,693.24,C4855549296,2960.95,2267.71,M2698618470,0.0,0.0,0,0
8,CASH_IN,31388.52,C6323526892,6169.21,37557.73,C8268327864,94123.58,62735.06,0,0
65,PAYMENT,3206.41,C9781691949,10589.99,7383.58,M9632655448,0.0,0.0,0,0
29,DEBIT,2432.41,C1672653207,14416.71,11984.3,C3484107719,3441.21,5873.62,0,0
63,CASH_IN,6129.12,C1859219473,37468.2,43597.32,C7725195561,92268.44,86139.32,0,0
34,PAYMENT,1291.94,C8318986749,5540.25,4248.31,M8452834039,0.0,0.0,0,0
30,CASH_OUT,35668.32,C8757570742,39639.57,3971.25,C5604529187,937.08,36605.4,0,0
12,PAYMENT,1024.1,C9032527598,4298.49,3274.39,M4857333356,0.0,0.0,0,0
80,PAYMENT,727.19,C7457316383,2394.0,1666.81,M1975425502,0.0,0.0,0,0
11,CASH_OUT,18008.6,C6525576685,33835.9,15827.3,C6744039057,42445.04,60453.64,0,0
51,PAYMENT,879.89,C9147380547,1192.14,312.25,M9244845081,0.0,0.0,0,0
72,PAYMENT,9517.19,C9938756676,30106.22,20589.03,M6038775895,0.0,0.0,0,0
1,PAYMENT,2991.66,C9216294623,3231.15,239.49,M8874412938,0.0,0.0,0,0
96,PAYMENT,6152.12,C5172879544,7734.08,1581.96,M6208853037,0.0,0.0,0,0
9,DEBIT,2482.11,C4847023831,17468.53,14986.42,C7299246775,29154.48,31636.59,0,0
76,CASH_IN,13436.22,C4860933951,14726.37,28162.59,C7634231247,94252.71,80816.49,0,0
18,TRANSFER,3461.99,C6337391151,9936.47,6474.48,C4053466387,42214.89,45676.88,0,0
72,CASH_OUT,32287.32,C3706269950,48881.75,16594.43,C2427219460,11441.2,43728.52,0,0
56,CASH_IN,21024.35,C8653592353,5189.93,26214.28,C1319792071,53205.66,32181.31,0,0
87,CASH_OUT,22455.34,C2458218795,46053.77,23598.43,C4399400226,38625.56,61080.9,0,0
14,CASH_IN,6029.28,C8351635495,38838.05,44867.33,C6542767434,15399.49,9370.21,0,0
